x,y,theta,sensor_id,sensor_value
0.582500,0.547500,0.000000,1,0.100213
0.582500,0.547500,0.000000,2,0.107648
0.582500,0.547500,0.000000,3,0.095388
0.582500,0.547500,0.000000,4,0.105368
0.582500,0.547500,0.000000,5,0.098972
0.582500,0.547500,0.000000,6,0.096764
0.582500,0.547500,0.000000,7,0.058810
0.582500,0.547500,0.000000,8,0.077628
0.582500,0.547500,0.000000,9,0.065868
0.582500,0.547500,0.000000,10,0.062378
0.582500,0.547500,0.000000,11,0.108638
0.582500,0.547500,0.000000,12,0.090544
0.582500,0.547500,0.000000,13,0.098531
0.582500,0.547500,0.000000,14,0.112594
0.582500,0.547500,0.000000,15,0.111667
0.582500,0.547500,0.000000,16,0.109194
0.579356,0.547391,0.034631,1,0.100213
0.579356,0.547391,0.034631,2,0.107648
0.579356,0.547391,0.034631,3,0.095388
0.579356,0.547391,0.034631,4,0.105368
0.579356,0.547391,0.034631,5,0.098972
0.579356,0.547391,0.034631,6,0.097922
0.579356,0.547391,0.034631,7,0.061010
0.579356,0.547391,0.034631,8,0.080464
0.579356,0.547391,0.034631,9,0.069489
0.579356,0.547391,0.034631,10,0.067380
0.579356,0.547391,0.034631,11,0.113172
0.579356,0.547391,0.034631,12,0.090544
0.579356,0.547391,0.034631,13,0.098531
0.579356,0.547391,0.034631,14,0.112594
0.579356,0.547391,0.034631,15,0.111667
0.579356,0.547391,0.034631,16,0.109194
0.581382,0.547432,0.020338,1,0.105633
0.581382,0.547432,0.020338,2,0.109866
0.581382,0.547432,0.020338,3,0.101777
0.581382,0.547432,0.020338,4,0.099628
0.581382,0.547432,0.020338,5,0.106656
0.581382,0.547432,0.020338,6,0.090022
0.581382,0.547432,0.020338,7,0.080441
0.581382,0.547432,0.020338,8,0.047131
0.581382,0.547432,0.020338,9,0.069101
0.581382,0.547432,0.020338,10,0.072402
0.581382,0.547432,0.020338,11,0.103761
0.581382,0.547432,0.020338,12,0.109236
0.581382,0.547432,0.020338,13,0.093161
0.581382,0.547432,0.020338,14,0.114094
0.581382,0.547432,0.020338,15,0.094062
0.581382,0.547432,0.020338,16,0.124775
0.580145,0.547359,0.059143,1,0.097700
0.580145,0.547359,0.059143,2,0.103886
0.580145,0.547359,0.059143,3,0.089834
0.580145,0.547359,0.059143,4,0.127347
0.580145,0.547359,0.059143,5,0.110317
0.580145,0.547359,0.059143,6,0.111393
0.580145,0.547359,0.059143,7,0.084833
0.580145,0.547359,0.059143,8,0.070571
0.580145,0.547359,0.059143,9,0.077483
0.580145,0.547359,0.059143,10,0.065483
0.580145,0.547359,0.059143,11,0.105195
0.580145,0.547359,0.059143,12,0.093972
0.580145,0.547359,0.059143,13,0.100052
0.580145,0.547359,0.059143,14,0.111308
0.580145,0.547359,0.059143,15,0.093774
0.580145,0.547359,0.059143,16,0.093542
0.579778,0.547327,0.086457,1,0.106382
0.579778,0.547327,0.086457,2,0.100050
0.579778,0.547327,0.086457,3,0.099191
0.579778,0.547327,0.086457,4,0.094082
0.579778,0.547327,0.086457,5,0.102838
0.579778,0.547327,0.086457,6,0.095570
0.579778,0.547327,0.086457,7,0.059400
0.579778,0.547327,0.086457,8,0.061016
0.579778,0.547327,0.086457,9,0.082800
0.579778,0.547327,0.086457,10,0.080582
0.579778,0.547327,0.086457,11,0.090490
0.579778,0.547327,0.086457,12,0.101326
0.579778,0.547327,0.086457,13,0.120070
0.579778,0.547327,0.086457,14,0.121406
0.579778,0.547327,0.086457,15,0.092209
0.579778,0.547327,0.086457,16,0.090329
0.577857,0.547107,0.114014,1,0.093876
0.577857,0.547107,0.114014,2,0.106412
0.577857,0.547107,0.114014,3,0.087066
0.577857,0.547107,0.114014,4,0.113851
0.577857,0.547107,0.114014,5,0.102818
0.577857,0.547107,0.114014,6,0.088733
0.577857,0.547107,0.114014,7,0.074259
0.577857,0.547107,0.114014,8,0.078250
0.577857,0.547107,0.114014,9,0.088331
0.577857,0.547107,0.114014,10,0.097918
0.577857,0.547107,0.114014,11,0.111587
0.577857,0.547107,0.114014,12,0.092569
0.577857,0.547107,0.114014,13,0.090978
0.577857,0.547107,0.114014,14,0.088819
0.577857,0.547107,0.114014,15,0.099280
0.577857,0.547107,0.114014,16,0.093976
0.577128,0.547022,0.116322,1,0.096961
0.577128,0.547022,0.116322,2,0.102859
0.577128,0.547022,0.116322,3,0.094002
0.577128,0.547022,0.116322,4,0.086782
0.577128,0.547022,0.116322,5,0.093480
0.577128,0.547022,0.116322,6,0.091483
0.577128,0.547022,0.116322,7,0.083914
0.577128,0.547022,0.116322,8,0.070943
0.577128,0.547022,0.116322,9,0.070160
0.577128,0.547022,0.116322,10,0.076143
0.577128,0.547022,0.116322,11,0.088195
0.577128,0.547022,0.116322,12,0.094850
0.577128,0.547022,0.116322,13,0.113114
0.577128,0.547022,0.116322,14,0.119867
0.577128,0.547022,0.116322,15,0.092572
0.577128,0.547022,0.116322,16,0.097449
0.578158,0.547152,0.125933,1,0.105117
0.578158,0.547152,0.125933,2,0.081547
0.578158,0.547152,0.125933,3,0.104503
0.578158,0.547152,0.125933,4,0.100687
0.578158,0.547152,0.125933,5,0.121721
0.578158,0.547152,0.125933,6,0.078858
0.578158,0.547152,0.125933,7,0.100706
0.578158,0.547152,0.125933,8,0.061055
0.578158,0.547152,0.125933,9,0.069631
0.578158,0.547152,0.125933,10,0.097986
0.578158,0.547152,0.125933,11,0.101516
0.578158,0.547152,0.125933,12,0.098259
0.578158,0.547152,0.125933,13,0.104567
0.578158,0.547152,0.125933,14,0.099956
0.578158,0.547152,0.125933,15,0.097959
0.578158,0.547152,0.125933,16,0.108004
0.580056,0.547400,0.129922,1,0.092825
0.580056,0.547400,0.129922,2,0.100256
0.580056,0.547400,0.129922,3,0.112939
0.580056,0.547400,0.129922,4,0.093546
0.580056,0.547400,0.129922,5,0.097029
0.580056,0.547400,0.129922,6,0.069511
0.580056,0.547400,0.129922,7,0.064411
0.580056,0.547400,0.129922,8,0.068365
